date,orientation,PIV
2018_07_20,1.494,0.747
2019_03_26,1.836,0.918
2019_04_10,1.836,0.918
2019_04_30,1.836,0.918
2019_05_14,1.836,0.918
2019_07_19,1.836,0.918
2019_08_06,1.836,0.918
2020_01_14,1.836,0.918
2019_10_24,1.836,0.918
2019_11_05,1.836,0.918
2019_11_22,1.836,0.918
2019_12_10,1.836,0.918
2019_12_13,1.836,0.918
2020_02_14,1.494,1.494
2020_03_03,1.494,1.494
2020_03_14,1.494,1.494
2020_05_06,1.836,0.918
2020_06_23,1.836,0.918
2020_07_01,1.836,0.918
2020_07_16,1.836,0.918
2020_09_15,1.836,1.836
2017_dataVY,0.747,0.747
